platesmania/WWY 21080.jpg	WWY 21080	1318,1312;1487,1314;1487,1352;1317,1352		
platesmania/WU 2413F.jpg	WU 2413F	183,646;321,645;316,695;178,694		
platesmania/LUB 5830G.jpg	LUB 5830G	752,977;912,960;913,1001;753,1019		
platesmania/DBL P594.jpg	DBL P594	657,778;781,771;782,802;658,812		
platesmania/LU 93843.jpg	LU 93843	783,389;999,389;1001,436;787,435		
platesmania/PKE 32S6.jpg	PKE 32S6;AP 1233BH	936,488;1121,473;1118,523;936,542	1359,511;1473,505;1473,536;1358,543	
platesmania/WPI 61452.jpg	WPI 61452	1080,1002;1252,988;1253,1025;1078,1040		
platesmania/DW 788RR.jpg	DW 788RR;DZG 13728	344,669;606,714;604,772;342,726	1406,314;1480,310;1480,332;1405,338	
platesmania/WND 61699.jpg	WND 61699	818,594;1169,592;1175,667;824,670		
platesmania/WWY 4206P.jpg	WWY 4206P	1114,1062;1284,1070;1283,1108;1114,1102		
platesmania/WOT 35992.jpg	WOT 35992	754,720;934,711;933,752;754,761		
platesmania/KRA 0383H.jpg	KRA 0383H	299,910;516,932;516,983;298,957		
platesmania/DBL 52F4.jpg	DBL 52F4	922,633;1120,587;1123,639;923,688		
platesmania/FZA 38AM.jpg	FZA 38AM	275,651;521,681;529,747;285,712		
platesmania/LLU 09469.jpg	LLU 09469	436,875;546,883;546,909;435,901		
platesmania/NOS 95RG.jpg	NOS 95RG	753,477;903,455;901,491;753,515		
platesmania/LU 970GJ.jpg	LU 970GJ	429,823;550,821;550,846;429,849		
platesmania/LTM 25408.jpg	LTM 25408	136,744;239,756;240,796;134,780		
platesmania/RZ 6820R.jpg	RZ 6820R	791,532;1096,537;1101,602;791,602		
platesmania/WF 42876.jpg	WF 42876	992,882;1312,786;1297,857;982,956		
platesmania/NO 5693R.jpg	NO 5693R;NO 7871P	899,614;1008,612;1012,643;904,645	1074,583;1156,591;1148,615;1068,603	
platesmania/RLA 88WV.jpg	RLA 88WV	434,392;730,390;725,456;428,455		
platesmania/EL 692TH.jpg	EL 692TH	1170,1021;1349,993;1348,1031;1169,1059		
platesmania/LTM 5L21.jpg	LTM 5L21	974,864;1044,854;1043,873;973,885		
platesmania/PP 7576J.jpg	PP 7576J	349,705;523,710;520,752;345,745		
platesmania/PWR NM31.jpg	PWR NM31	191,771;354,774;354,814;189,811		
platesmania/ZS 2301M.jpg	ZS 2301M	210,374;302,376;301,399;208,397		
platesmania/DWR 56979.jpg	DWR 56979	235,413;427,414;423,456;230,453		
